epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,69613.9,1.09083,1.77241,1.17544,0.69791,0.6975,0.73145,0.51558,0.86387,1.44287,1.08847,0.00978118,0.00978118,0.00978118
97,70338.4,1.08288,1.75325,1.17115,0.70172,0.6969,0.73203,0.51574,0.86362,1.44106,1.08807,0.00977658,0.00977658,0.00977658
98,71057.3,1.08681,1.76642,1.17614,0.69762,0.69877,0.73314,0.51686,0.86307,1.44027,1.08745,0.00977194,0.00977194,0.00977194
99,71781.2,1.08203,1.75054,1.17182,0.69879,0.69863,0.73419,0.51667,0.86261,1.43868,1.08688,0.00976725,0.00976725,0.00976725
100,72499.5,1.08395,1.76022,1.1732,0.69868,0.70212,0.73532,0.51832,0.86285,1.43655,1.08661,0.00976251,0.00976251,0.00976251
101,73217.3,1.08368,1.75523,1.16977,0.69607,0.70299,0.73613,0.51817,0.86222,1.43451,1.0858,0.00975773,0.00975773,0.00975773
102,73945.1,1.08244,1.75279,1.17099,0.69679,0.70456,0.73734,0.51878,0.86177,1.4316,1.08531,0.0097529,0.0097529,0.0097529
103,74665.6,1.08283,1.75608,1.16976,0.70279,0.70247,0.73849,0.51952,0.86135,1.43051,1.08494,0.00974803,0.00974803,0.00974803
104,75379.5,1.08394,1.75962,1.16991,0.70422,0.70216,0.73939,0.52017,0.86067,1.42943,1.08434,0.0097431,0.0097431,0.0097431
105,76097.9,1.08958,1.76277,1.17544,0.70447,0.70265,0.74127,0.52153,0.8607,1.42722,1.08408,0.00973814,0.00973814,0.00973814
106,76827.1,1.08367,1.76034,1.17403,0.70751,0.70121,0.7419,0.52152,0.86053,1.42539,1.084,0.00973312,0.00973312,0.00973312
107,77549.6,1.08177,1.75308,1.171,0.71094,0.70087,0.74234,0.52199,0.86022,1.423,1.08411,0.00972806,0.00972806,0.00972806
108,78273.2,1.07916,1.74073,1.17113,0.71137,0.70097,0.74222,0.5226,0.85992,1.42125,1.08388,0.00972296,0.00972296,0.00972296
109,78999.9,1.08113,1.75355,1.17237,0.71682,0.70463,0.74401,0.52367,0.85945,1.41832,1.08352,0.0097178,0.0097178,0.0097178
110,79722.6,1.08097,1.74841,1.16783,0.7162,0.70835,0.74685,0.52427,0.85976,1.41687,1.08338,0.0097126,0.0097126,0.0097126
111,80442,1.08486,1.75837,1.16808,0.71007,0.70612,0.74577,0.52458,0.8594,1.41512,1.08292,0.00970736,0.00970736,0.00970736
112,81162.4,1.0818,1.75256,1.16821,0.71312,0.70695,0.74855,0.52466,0.85885,1.41325,1.0826,0.00970207,0.00970207,0.00970207
113,81892,1.08203,1.74246,1.17004,0.72059,0.70454,0.74709,0.52524,0.85893,1.41019,1.08225,0.00969673,0.00969673,0.00969673
114,82618,1.07821,1.73396,1.17055,0.72286,0.70899,0.74937,0.52597,0.85869,1.40903,1.08207,0.00969135,0.00969135,0.00969135
115,83348.8,1.08019,1.73796,1.16844,0.72753,0.70849,0.75116,0.52662,0.85853,1.40678,1.0819,0.00968592,0.00968592,0.00968592
116,84067.4,1.08312,1.74176,1.17002,0.72671,0.7089,0.75186,0.52657,0.8582,1.40518,1.08147,0.00968045,0.00968045,0.00968045
117,84789.4,1.07734,1.74094,1.16903,0.72726,0.70337,0.75041,0.52816,0.85814,1.40321,1.08116,0.00967493,0.00967493,0.00967493
118,85508.3,1.08045,1.74535,1.16943,0.72959,0.70465,0.75205,0.52805,0.85783,1.40165,1.08112,0.00966936,0.00966936,0.00966936
119,86220.8,1.08203,1.73331,1.16883,0.72924,0.70317,0.75173,0.52766,0.8579,1.40003,1.08093,0.00966375,0.00966375,0.00966375
120,86946.4,1.07501,1.73003,1.16756,0.72846,0.70466,0.75241,0.52893,0.85745,1.39788,1.08045,0.0096581,0.0096581,0.0096581
121,87672.3,1.07783,1.73744,1.16855,0.73271,0.70753,0.75384,0.53021,0.85681,1.39497,1.07997,0.00965239,0.00965239,0.00965239
122,88392,1.08143,1.73803,1.16827,0.73434,0.70695,0.7549,0.5307,0.85645,1.39254,1.07938,0.00964665,0.00964665,0.00964665
123,89115.4,1.07949,1.73413,1.16786,0.73882,0.70741,0.75572,0.53111,0.85613,1.38999,1.07902,0.00964085,0.00964085,0.00964085
124,89845.3,1.07024,1.71831,1.16644,0.73969,0.70709,0.7559,0.53131,0.85601,1.38861,1.07886,0.00963502,0.00963502,0.00963502
125,90559.8,1.07656,1.73079,1.16796,0.73902,0.70823,0.7568,0.53088,0.85639,1.3873,1.0788,0.00962913,0.00962913,0.00962913
126,91283,1.07566,1.72737,1.16822,0.7445,0.70786,0.7591,0.53268,0.85612,1.38642,1.07843,0.0096232,0.0096232,0.0096232
127,92000.9,1.07518,1.73395,1.16742,0.74505,0.70964,0.75929,0.53154,0.85578,1.38673,1.0782,0.00961723,0.00961723,0.00961723
128,92733.9,1.07577,1.72351,1.16804,0.74184,0.70942,0.75964,0.53285,0.85577,1.38495,1.07791,0.00961121,0.00961121,0.00961121
129,93456.2,1.0766,1.73713,1.16978,0.74432,0.71135,0.75989,0.53314,0.8552,1.38382,1.07755,0.00960515,0.00960515,0.00960515
130,94178.4,1.07659,1.72035,1.16862,0.74736,0.71252,0.76047,0.53333,0.8547,1.38258,1.0774,0.00959904,0.00959904,0.00959904
131,94909.4,1.07292,1.71872,1.16435,0.74831,0.71286,0.7607,0.53361,0.85493,1.38184,1.07729,0.00959289,0.00959289,0.00959289
132,95632.1,1.07601,1.7254,1.16624,0.75174,0.71185,0.76055,0.53381,0.85495,1.3803,1.07716,0.00958669,0.00958669,0.00958669
133,96352.4,1.07463,1.72091,1.16797,0.74842,0.71142,0.76106,0.5346,0.8552,1.37899,1.07715,0.00958044,0.00958044,0.00958044
134,97071.3,1.07573,1.72766,1.1663,0.74929,0.71462,0.76105,0.53532,0.85475,1.37756,1.07683,0.00957416,0.00957416,0.00957416
135,97791.6,1.07711,1.72443,1.16741,0.75105,0.71561,0.76149,0.5355,0.85438,1.37705,1.0765,0.00956782,0.00956782,0.00956782
136,98515.4,1.07643,1.73122,1.16743,0.74922,0.71881,0.76204,0.53646,0.85414,1.37583,1.0765,0.00956145,0.00956145,0.00956145
137,99247.2,1.07237,1.72263,1.16826,0.7442,0.72253,0.76243,0.53613,0.8542,1.37339,1.07645,0.00955502,0.00955502,0.00955502
138,99983,1.07333,1.71637,1.16585,0.74409,0.72295,0.76373,0.53707,0.85369,1.37223,1.07609,0.00954856,0.00954856,0.00954856
139,100705,1.07518,1.7359,1.16913,0.74447,0.72455,0.76424,0.53713,0.85356,1.37118,1.07598,0.00954205,0.00954205,0.00954205
140,101431,1.0696,1.72403,1.16732,0.74564,0.72284,0.76429,0.53754,0.85311,1.3706,1.07579,0.00953549,0.00953549,0.00953549
141,102150,1.07568,1.7178,1.16613,0.74709,0.7226,0.7639,0.53736,0.85319,1.36962,1.07577,0.00952889,0.00952889,0.00952889
142,102864,1.07499,1.72917,1.16576,0.74608,0.72463,0.76518,0.5377,0.8531,1.36866,1.07559,0.00952225,0.00952225,0.00952225
143,103584,1.07689,1.72648,1.16592,0.74996,0.72149,0.76582,0.5384,0.85249,1.3683,1.07526,0.00951556,0.00951556,0.00951556
144,104309,1.07728,1.72501,1.16619,0.74879,0.72457,0.76642,0.53868,0.85202,1.36761,1.07515,0.00950883,0.00950883,0.00950883
145,105042,1.06874,1.70579,1.16468,0.7443,0.72497,0.7661,0.53903,0.85196,1.36746,1.07505,0.00950206,0.00950206,0.00950206
146,105764,1.073,1.72378,1.16463,0.75058,0.72639,0.76669,0.53922,0.85155,1.36695,1.07467,0.00949524,0.00949524,0.00949524
147,106488,1.07199,1.71054,1.16542,0.75378,0.7258,0.76798,0.54,0.85141,1.36605,1.07452,0.00948837,0.00948837,0.00948837
148,107212,1.07037,1.71215,1.16483,0.75492,0.72933,0.76893,0.54054,0.85089,1.36541,1.07427,0.00948147,0.00948147,0.00948147
149,107929,1.07667,1.72835,1.16677,0.74876,0.73212,0.7701,0.54121,0.85049,1.36559,1.0741,0.00947452,0.00947452,0.00947452
150,108655,1.06838,1.71723,1.16408,0.74709,0.7327,0.76984,0.54137,0.85027,1.36474,1.07371,0.00946752,0.00946752,0.00946752
151,109374,1.07377,1.72697,1.16827,0.74138,0.73066,0.76735,0.54117,0.8506,1.36474,1.074,0.00946048,0.00946048,0.00946048
152,110094,1.07342,1.72077,1.16486,0.74141,0.73209,0.76769,0.54175,0.85013,1.36467,1.07384,0.0094534,0.0094534,0.0094534
153,110820,1.0706,1.71275,1.16727,0.7416,0.73029,0.76824,0.5426,0.84972,1.36405,1.07372,0.00944628,0.00944628,0.00944628
154,111540,1.07016,1.70218,1.16309,0.73695,0.73492,0.76846,0.543,0.84963,1.36175,1.07359,0.00943911,0.00943911,0.00943911
155,112265,1.071,1.71217,1.16388,0.7377,0.73498,0.76939,0.54314,0.84953,1.36145,1.0734,0.00943189,0.00943189,0.00943189
156,112982,1.06942,1.70629,1.16345,0.73666,0.73513,0.76954,0.54267,0.84938,1.36104,1.07335,0.00942464,0.00942464,0.00942464
157,113699,1.06741,1.71049,1.16115,0.73798,0.73392,0.76984,0.54275,0.84893,1.36037,1.07313,0.00941734,0.00941734,0.00941734
158,114422,1.06747,1.70737,1.16642,0.73771,0.73401,0.77079,0.54366,0.84887,1.3579,1.07307,0.00941,0.00941,0.00941
159,115150,1.07569,1.71934,1.16873,0.73922,0.73956,0.77309,0.54423,0.84843,1.35772,1.07276,0.00940262,0.00940262,0.00940262
160,115870,1.07284,1.70982,1.16204,0.74284,0.74255,0.77405,0.54484,0.84811,1.3556,1.07246,0.00939519,0.00939519,0.00939519
161,116595,1.06915,1.70743,1.16374,0.74509,0.74004,0.77456,0.54485,0.84744,1.35516,1.07204,0.00938772,0.00938772,0.00938772
162,117321,1.06558,1.70445,1.16356,0.75141,0.73722,0.77573,0.54517,0.84744,1.35523,1.07202,0.0093802,0.0093802,0.0093802
163,118041,1.06687,1.70541,1.16375,0.75389,0.73428,0.77656,0.54562,0.84708,1.35386,1.07189,0.00937265,0.00937265,0.00937265
164,118762,1.06384,1.69737,1.16092,0.75462,0.73557,0.77705,0.54625,0.8468,1.35278,1.07175,0.00936505,0.00936505,0.00936505
165,119484,1.06687,1.6942,1.16165,0.76091,0.72907,0.77721,0.54581,0.84676,1.35191,1.07185,0.00935741,0.00935741,0.00935741
166,120204,1.07124,1.70455,1.16357,0.76499,0.72568,0.77742,0.54588,0.84662,1.35173,1.07209,0.00934973,0.00934973,0.00934973
167,120917,1.07111,1.71131,1.1642,0.77167,0.72279,0.77858,0.54625,0.8465,1.35055,1.07213,0.009342,0.009342,0.009342
168,121650,1.06362,1.68784,1.16152,0.77048,0.72652,0.77797,0.5461,0.84647,1.34874,1.07201,0.00933423,0.00933423,0.00933423
169,122377,1.07028,1.70625,1.16343,0.76999,0.72571,0.77844,0.54621,0.84625,1.348,1.07177,0.00932642,0.00932642,0.00932642
170,123101,1.06442,1.69414,1.16111,0.77114,0.7244,0.7782,0.54658,0.8461,1.34739,1.07164,0.00931857,0.00931857,0.00931857
171,123826,1.06755,1.70721,1.16599,0.76947,0.72717,0.77856,0.54691,0.84569,1.34598,1.07139,0.00931067,0.00931067,0.00931067
172,124546,1.06552,1.6907,1.1622,0.76793,0.7296,0.77845,0.54755,0.84509,1.34408,1.07124,0.00930274,0.00930274,0.00930274
173,125275,1.06588,1.68847,1.16414,0.76702,0.72818,0.77815,0.54797,0.84468,1.34365,1.0712,0.00929476,0.00929476,0.00929476
174,126003,1.06467,1.69652,1.16088,0.76825,0.72774,0.77813,0.54738,0.84437,1.34105,1.07091,0.00928674,0.00928674,0.00928674
175,126730,1.06783,1.7129,1.16493,0.76598,0.72972,0.77589,0.54765,0.84401,1.33999,1.07074,0.00927867,0.00927867,0.00927867
176,127448,1.0692,1.70656,1.16218,0.77064,0.72954,0.7784,0.54777,0.84366,1.33904,1.07033,0.00927057,0.00927057,0.00927057
177,128171,1.06703,1.70018,1.16205,0.76759,0.7307,0.77798,0.54847,0.84398,1.3372,1.07036,0.00926242,0.00926242,0.00926242
178,128906,1.06493,1.69471,1.16396,0.7679,0.72879,0.77843,0.5482,0.84432,1.33667,1.07052,0.00925423,0.00925423,0.00925423
179,129630,1.06174,1.69249,1.16221,0.77471,0.72556,0.77946,0.54841,0.84442,1.33615,1.07041,0.00924601,0.00924601,0.00924601
180,130350,1.06398,1.69329,1.15842,0.76877,0.72501,0.77663,0.54767,0.84382,1.33608,1.06995,0.00923774,0.00923774,0.00923774
